,index,CLEANED REASON,REASON,AVG SCORE,TO USER ACCOUNT,DATE,category
1,1,sort pan payment ,for sorting out PAN payments ,7.35,hannahjojo,2021-11-06T23:00:00.000Z,
2,2,awesom giveth rainbow roll market gener much support giveth ,for the awesome Giveth / Rainbow rolls marketing and for in general just doing so much to support Giveth!! ,67.33,🌈 🧻chair 🌈 🧻,2021-11-01T23:00:00.000Z,
3,3,continu collabor rainbow roll giveaway ,for continued collaboration with rainbow rolls giveaways ,7.63,🌈 🧻chair 🌈 🧻,2021-11-06T23:00:00.000Z,
4,4,continu collabor rainbow roll giveaway ,for continued collaboration with rainbow rolls giveaways ,53.33,0xJoshua | Opolis | RainbowRolls,2021-11-06T23:00:00.000Z,
6,6,awesom call go smart contract weekend ,for the awesome call going over the smart contracts this weekend ,80.33,invocamanman,2021-11-06T23:00:00.000Z,
8,8,code crisp new giveth io websit amaz ,for coding such a crisp new Giveth.io website. AMAZING! ,55.43,Ramin#4479,2021-11-10T23:00:00.000Z,
9,9,great meme magic fund public good rais much money giveth ,for the great meme magic to fund public goods... raising so much money for Giveth!!! ,56.67,0xJoshua | Opolis | RainbowRolls,2021-11-06T23:00:00.000Z,
10,10,great meme magic fund public good rais much money giveth ,for the great meme magic to fund public goods... raising so much money for Giveth!!! ,57.13,🌈 🧻chair 🌈 🧻,2021-11-06T23:00:00.000Z,
11,11,awesom job find issu smart contract ,for doing awesome job and finding issues in our smart contracts ,12.1,invocamanman,2021-11-12T23:00:00.000Z,
12,12,great contribut pan payment givreward board multisig givdrop list ,"for her great contribution on PAN payments, GIVreward Board multisig and GIVdrop list ",7.85,hannahjojo,2021-11-10T23:00:00.000Z,
21,21,get us paid ,for getting us paid ,96.0,freshelle#9882,2021-11-06T23:00:00.000Z,
23,23,giveconomi front end fix updat ,for GIVeconomy front-end fixes and updates ,35.0,Cherik#4711,2021-11-06T23:00:00.000Z,
24,24,support givgarden ,for supporting givgarden ,5.95,fabri 🐝,2021-11-06T23:00:00.000Z,
25,25,awesom giveth rainbow roll market gener much support giveth ,for the awesome Giveth / Rainbow rolls marketing and for in general just doing so much to support Giveth!! ,46.0,launchninja,2021-11-01T23:00:00.000Z,
26,26,creat nrgiv token mint propos ,for creating their nrGIV Token Minting proposal! ,46.0,hannahjojo,2021-11-06T23:00:00.000Z,
27,27,push fix need garden ,for pushing the fixes we need for Gardens! ,46.0,fabri 🐝,2021-11-06T23:00:00.000Z,
29,29,repres giveth miami confer week ,for representing Giveth in a Miami conference this week ,47.0,hannahjojo,2021-11-10T23:00:00.000Z,
31,31,hold giveth dapp dev ,for holding down giveth dapp dev ,8.97,Cherik#4711,2021-11-06T23:00:00.000Z,
32,32,sort payment 😄 ,for sorting out my payment 😄 ,7.3,freshelle#9882,2021-11-06T23:00:00.000Z,
35,35,great job implement economi front ,for his great job on implementing economy front ,8.97,Cherik#4711,2021-11-10T23:00:00.000Z,
37,37,amaz team write featur fast ,for being an amazing team and writing features fast! ,7.3,Cherik#4711,2021-11-10T23:00:00.000Z,
39,39,great job io trace ,for their great job on io and Trace ,6.33,Cherik#4711,2021-11-10T23:00:00.000Z,
49,49,creat manag vacat tracker ,for creating and managing the vacation tracker. ,45.33,freshelle#9882,2021-11-14T23:00:00.000Z,
53,53,manag govern collabor project verif alway bring idea tabl ,"for managing governance and collaborating on project verification, and always bring her ideas to the table ",48.0,Danibelle the Uno and Only#6791,2021-11-10T23:00:00.000Z,
54,54,fix issu relat garden givgarden ,for fixing issues related to gardens and the givgarden ,14.95,fabri 🐝,2021-11-10T23:00:00.000Z,
55,55,great job garden help us make happen ,for their great job on Gardens and helping us to make it happen ,14.95,fabri 🐝,2021-11-10T23:00:00.000Z,
57,57,push fix need garden ,for pushing the fixes we need for Gardens! ,48.0,"sem(🌸,🐝)#0161",2021-11-06T23:00:00.000Z,
59,59,great job garden help us make happen ,for their great job on Gardens and helping us to make it happen ,15.43,"sem(🌸,🐝)#0161",2021-11-10T23:00:00.000Z,
62,62,manag payment make everyth easi everi way ,managing all the payments and making everything so easy for me in every way that she can! ,16.13,freshelle#9882,2021-11-06T23:00:00.000Z,
63,63,creat nrgiv token mint propos ,for creating their nrGIV Token Minting proposal! ,18.67,markop#2007,2021-11-06T23:00:00.000Z,
65,65,amaz team write featur fast ,for being an amazing team and writing features fast! ,5.5,Ramin#4479,2021-11-10T23:00:00.000Z,
67,67,smart contract review ,for smart contract review ,4.25,eduadiez#9314,2021-11-06T23:00:00.000Z,
68,68,make sobol happen ,for making Sobol happen ,23.67,freshelle#9882,2021-11-10T23:00:00.000Z,
70,70,quickli write giveconomi pr ,for quickly writing the GIVeconomy PR. ,26.33,karmaticacid#1218,2021-11-14T23:00:00.000Z,
72,72,franck help push giv token gemini ,and Franck for helping push GIV token on Gemini ,21.17,WhyldWanderer#7002,2021-11-06T23:00:00.000Z,
73,73,awesom call go smart contract weekend ,for the awesome call going over the smart contracts this weekend ,5.25,eduadiez#9314,2021-11-06T23:00:00.000Z,
76,76,smart contract review ,for smart contract review ,30.0,Amin#2164,2021-11-06T23:00:00.000Z,
80,80,call gemini tri get giv list launch ,for call with Gemini and trying to get GIV listed after launch ,6.33,WhyldWanderer#7002,2021-11-06T23:00:00.000Z,
82,82,guid team giveconomi ,for guiding team on GIVeconomy ,31.5,"Griff (💜,💜)#8888",2021-11-10T23:00:00.000Z,
83,83,creat nrgiv token mint propos ,for creating their nrGIV Token Minting proposal! ,25.33,MoeNick#1374,2021-11-06T23:00:00.000Z,
84,84,smart contract review call ,for smart contracts review call ,31.5,eduadiez#9314,2021-11-06T23:00:00.000Z,
85,85,provid inform test givback contract ,for providing information on testing the GIVback contracts ,6.75,eduadiez#9314,2021-11-06T23:00:00.000Z,
88,88,push givmin distro spec advic ,for pushing out the GIVmining distro spec for advice ,34.0,"Griff (💜,💜)#8888",2021-11-06T23:00:00.000Z,
90,90,get gnosi safe solicit particip ,for getting gnosis safe up and soliciting participants ,28.15,hannahjojo,2021-11-06T23:00:00.000Z,
97,97,creat nrgiv token mint propos ,for creating their nrGIV Token Minting proposal! ,34.0,"Griff (💜,💜)#8888",2021-11-06T23:00:00.000Z,
98,98,resourc manag give technic advic ,for resource management and giving technical advice ,29.67,MoeNick#1374,2021-11-10T23:00:00.000Z,
102,102,keep time payment happen ,for keeping the timely payments happening ,23.13,freshelle#9882,2021-11-06T23:00:00.000Z,
103,103,report lot issu io board ,or reporting lots of issues on io board ,13.25,Donna.Ofi,2021-11-08T23:00:00.000Z,
104,104,excel qa ,for excellent QA ,3.8,Donna.Ofi,2021-11-10T23:00:00.000Z,
106,106,alway test featur find bug ,for always testing features and finding bugs! ,3.8,Donna.Ofi,2021-11-10T23:00:00.000Z,
107,107,test dapp point bug miss comm piec ,for testing the dapps and point out bugs and missing comms pieces ,3.8,Donna.Ofi,2021-11-10T23:00:00.000Z,
108,108,find lot bug io creat lot pf issu ,for finding LOTS of bugs from our IO and creating lots pf issues there. ,38.0,Donna.Ofi,2021-11-02T23:00:00.000Z,
109,109,push fix need garden ,for pushing the fixes we need for Gardens! ,38.0,Amin#2164,2021-11-06T23:00:00.000Z,
110,110,jump giveth activ commmun member ,for jumping into Giveth and being active commmunity members! ,18.67,r33pich33p#6906,2021-11-06T23:00:00.000Z,
111,111,jump today commun call ,for jumping into todays community call! ,12.67,MikeAnanyin[TheWayofTheDAO],2021-11-06T23:00:00.000Z,
114,114,brave elegantli adjust focu ,for bravely and elegantly adjusting focus ,13.33,Danibelle the Uno and Only#6791,2021-11-06T23:00:00.000Z,
117,117,jump today commun call ,for jumping into todays community call! ,17.5,thesmith | ShapeShift DAO,2021-11-06T23:00:00.000Z,
118,118,creat nrgiv token mint propos ,for creating their nrGIV Token Minting proposal! ,12.67,karmaticacid#1218,2021-11-06T23:00:00.000Z,
120,120,great job io trace ,for their great job on io and Trace ,14.33,mohammad_ranjbar_z#2709,2021-11-10T23:00:00.000Z,
126,126,great dev team ,for being great dev team ,15.0,MoeNick#1374,2021-11-06T23:00:00.000Z,
127,127,provid inform test givback contract ,for providing information on testing the GIVback contracts ,19.5,Amin#2164,2021-11-06T23:00:00.000Z,
128,128,provid inform test givback contract ,for providing information on testing the GIVback contracts ,1.95,Amin#2164,2021-11-06T23:00:00.000Z,
129,129,great advisor step rep giveth rainbow roll dao releas fund ceremoni ,"for being a great advisor, and stepping into rep Giveth at the rainbow rolls DAO release fund ceremony ",17.33,willyfox#1178,2021-11-10T23:00:00.000Z,
130,130,great job make garden token happen 🙂 ,for his great job on making our gardens with token happened 🙂 ,19.5,Amin#2164,2021-11-02T23:00:00.000Z,
132,132,top mani thing excel ,for being on top of many things and excellent on all ,7.13,karmaticacid#1218,2021-11-10T23:00:00.000Z,
133,133,  hire ,for having 1:1 for hiring. ,19.5,hanners717#2022,2021-11-06T23:00:00.000Z,
136,136,sort payment 😄 ,for sorting out my payment 😄 ,17.4,"Griff (💜,💜)#8888",2021-11-06T23:00:00.000Z,
137,137,precis test backend endpoint report lot bug ,for precise testing backend endpoints and report lots of bugs ,25.33,Ramin#4479,2021-11-03T23:00:00.000Z,
139,139,awesom job facilit commun call ,for an awesome job facilitating community calls ,18.33,WhyldWanderer#7002,2021-11-06T23:00:00.000Z,
140,140,hold giveth dapp dev ,for holding down giveth dapp dev ,18.33,Ramin#4479,2021-11-06T23:00:00.000Z,
141,141,prepar great test guidelin giveconomi realli need 🙂 ,"for preparing great test guideline for GIVeconomy, it is really needed 🙂 ",18.33,karmaticacid#1218,2021-11-10T23:00:00.000Z,
142,142,support givfarm nft stake ,for supporting GIvfarm nft staking ,18.33,Fábio,2021-11-06T23:00:00.000Z,
144,144,get us paid ,for getting us paid ,21.0,"Griff (💜,💜)#8888",2021-11-06T23:00:00.000Z,
145,145,bankless interview ,for the bankless interview ,2.35,"Griff (💜,💜)#8888",2021-11-06T23:00:00.000Z,
146,146,keen eye segment autopilot updat new project list unlist status ,for her keen eye on segment and autopilot and for updating new project listed/unlisted statuses ,22.67,WhyldWanderer#7002,2021-11-10T23:00:00.000Z,
